name,ra_deg,dec_deg,parallax_mas,distance_pc,distance_ly
Spica,201.2982473615632,-11.161319485111932,13.06,76.5696784073507,249.73660030627872
Zavijava,177.67382714942332,1.7647226497586115,90.8945,11.001765783408239,35.882919208532975
Porrima,190.41511762006294,-1.4494039524575002,83.1935,12.02016984499991,39.2045051596579
Minelauva,193.9008692670183,3.3974689038383334,17.4065,57.44980323442392,187.37598023726767
Vindemiatrix,195.5441542302233,10.959148721740554,30.211,33.100526298368145,107.9593525537056
Heze,203.67329732802997,-0.59581641612,43.7467,22.858867068830335,74.55556647701427
Zaniah,184.97642665915,-0.66679619811,13.1692,75.93475685690855,247.66576557421863
Syrma,214.0036178170021,-6.000547078703056,45.4014,22.025752509834497,71.8383133559758
Kang,213.2239368859575,-10.273703461482222,11.5878,86.2976578815651,281.46498904019745
Khambalia,214.77746945512624,-13.371091295024444,18.4246,54.2752624208938,177.02202490149037
Elgafar,217.05057875906,-2.22795805996,26.8792,37.203488199053545,121.34140897050507
